"Winning_team","Losing_team","Winning","Losing"
"Minnesota Timberwolves","Chicago Bulls",150,126
"Denver Nuggets","Charlotte Hornets",119,115
"Los Angeles Lakers","Washington Wizards",119,117
"Cleveland Cavaliers","Utah Jazz",122,99
"Philadelphia 76ers","Toronto Raptors",104,101
"Atlanta Hawks","Orlando Magic",126,125
"San Antonio Spurs","Houston Rockets",124,105
"Minnesota Timberwolves","Dallas Mavericks",116,106
"Milwaukee Bucks","New Orleans Pelicans",128,119
"Oklahoma City Thunder","Portland Trail Blazers",123,121
"Phoenix Suns","Los Angeles Lakers",130,104
"Charlotte Hornets","Sacramento Kings",125,119
"Utah Jazz","Detroit Pistons",126,111
"Chicago Bulls","Miami Heat",113,103
"New York Knicks","Golden State Warriors",132,94
"Washington Wizards","Phoenix Suns",113,110
"Denver Nuggets","Memphis Grizzlies",105,91
"Cleveland Cavaliers","Milwaukee Bucks",114,106
"Philadelphia 76ers","Detroit Pistons",113,93
"Chicago Bulls","Atlanta Hawks",110,108
"Indiana Pacers","Boston Celtics",117,112
"Brooklyn Nets","Golden State Warriors",143,113
"Toronto Raptors","New York Knicks",113,106
"Orlando Magic","Houston Rockets",116,110
"Dallas Mavericks","Minnesota Timberwolves",104,99
"Oklahoma City Thunder","Portland Trail Blazers",101,98
"Sacramento Kings","Los Angeles Lakers",134,120
"Los Angeles Clippers","Charlotte Hornets",126,105
"New Orleans Pelicans","San Antonio Spurs",126,117
"Utah Jazz","Washington Wizards",120,112
"Orlando Magic","San Antonio Spurs",133,113
"Philadelphia 76ers","Los Angeles Clippers",119,114
"Atlanta Hawks","Detroit Pistons",130,105
"Boston Celtics","Minnesota Timberwolves",121,109
"Brooklyn Nets","Milwaukee Bucks",118,100
"Toronto Raptors","Cleveland Cavaliers",118,107
"Chicago Bulls","New York Knicks",118,117
"Dallas Mavericks","Houston Rockets",112,106
"Indiana Pacers","Miami Heat",111,108
"New Orleans Pelicans","Oklahoma City Thunder",128,125
"Denver Nuggets","Portland Trail Blazers",120,107
"Memphis Grizzlies","Phoenix Suns",125,100
"Washington Wizards","Sacramento Kings",125,111
"Charlotte Hornets","Los Angeles Lakers",134,130
"Philadelphia 76ers","New York Knicks",119,112
"Dallas Mavericks","Los Angeles Lakers",124,115
"Boston Celtics","Milwaukee Bucks",139,118
"Golden State Warriors","Memphis Grizzlies",123,109
"Denver Nuggets","Phoenix Suns",128,125
"Brooklyn Nets","Cleveland Cavaliers",125,117
"Los Angeles Clippers","Detroit Pistons",142,131
"Miami Heat","Minnesota Timberwolves",113,110
"Houston Rockets","Chicago Bulls",133,118
"New Orleans Pelicans","Indiana Pacers",113,93
"San Antonio Spurs","Utah Jazz",126,122
"Portland Trail Blazers","Charlotte Hornets",124,113
"Los Angeles Lakers","Orlando Magic",129,110
"Washington Wizards","Philadelphia 76ers",116,111
"Boston Celtics","Houston Rockets",126,102
"Indiana Pacers","Atlanta Hawks",129,114
"Los Angeles Clippers","Toronto Raptors",124,113
"Phoenix Suns","Memphis Grizzlies",125,108
"Oklahoma City Thunder","San Antonio Spurs",130,114
"Dallas Mavericks","New York Knicks",126,121
"Golden State Warriors","Charlotte Hornets",110,105
"Denver Nuggets","Sacramento Kings",113,106
"Detroit Pistons","Orlando Magic",121,101
"Washington Wizards","Phoenix Suns",127,102
"Brooklyn Nets","Atlanta Hawks",108,107
"Miami Heat","Los Angeles Lakers",112,98
"Chicago Bulls","Milwaukee Bucks",119,113
"New Orleans Pelicans","Minnesota Timberwolves",119,118
"Golden State Warriors","Utah Jazz",112,107
"Sacramento Kings","Denver Nuggets",127,126
"Charlotte Hornets","Oklahoma City Thunder",121,113
"Indiana Pacers","Cleveland Cavaliers",135,126
"Boston Celtics","Los Angeles Clippers",116,110
"Memphis Grizzlies","Toronto Raptors",119,106
"San Antonio Spurs","New York Knicks",122,115
"Dallas Mavericks","Houston Rockets",129,114
"Washington Wizards","Orlando Magic",119,100
"Los Angeles Lakers","Atlanta Hawks",130,121
"Toronto Raptors","Phoenix Suns",113,104
"Chicago Bulls","Detroit Pistons",132,118
"Milwaukee Bucks","Minnesota Timberwolves",123,114
"New Orleans Pelicans","Philadelphia 76ers",127,116
"Denver Nuggets","Miami Heat",124,119
"Golden State Warriors","Portland Trail Blazers",118,112
"Sacramento Kings","Utah Jazz",126,125
"Indiana Pacers","Los Angeles Clippers",131,130
"Cleveland Cavaliers","Chicago Bulls",103,102
"Brooklyn Nets","Charlotte Hornets",123,106
"New York Knicks","Houston Rockets",108,88
"Dallas Mavericks","San Antonio Spurs",126,125
"Memphis Grizzlies","New Orleans Pelicans",116,101
"Detroit Pistons","Minnesota Timberwolves",116,104
"Philadelphia 76ers","Oklahoma City Thunder",115,96
"Miami Heat","Utah Jazz",126,123
"Denver Nuggets","Boston Celtics",123,111
"Memphis Grizzlies","Sacramento Kings",118,108
"Washington Wizards","Milwaukee Bucks",118,95
"New York Knicks","Phoenix Suns",102,83
"Los Angeles Lakers","Charlotte Hornets",121,115
"Cleveland Cavaliers","Chicago Bulls",145,134
"Indiana Pacers","Toronto Raptors",122,114
"Philadelphia 76ers","New Orleans Pelicans",120,111
"Brooklyn Nets","San Antonio Spurs",139,103
"Dallas Mavericks","Houston Rockets",111,106
"Minnesota Timberwolves","Denver Nuggets",124,111
"Golden State Warriors","Atlanta Hawks",143,141
"Portland Trail Blazers","Detroit Pistons",135,106
"Miami Heat","Los Angeles Clippers",110,100
"Milwaukee Bucks","Washington Wizards",123,113
"Oklahoma City Thunder","Boston Celtics",150,117
"Sacramento Kings","Utah Jazz",117,115
"Memphis Grizzlies","Charlotte Hornets",131,107
"Cleveland Cavaliers","Phoenix Suns",90,88
"Orlando Magic","Oklahoma City Thunder",126,115
"Philadelphia 76ers","Indiana Pacers",129,126
"New York Knicks","San Antonio Spurs",117,114
"Milwaukee Bucks","Toronto Raptors",104,101
"Chicago Bulls","Brooklyn Nets",121,112
"Minnesota Timberwolves","Portland Trail Blazers",113,106
